날짜,북,동,남,서,강수량,풍속
2016-02-27,0.78,0.22,0,0,0,0.49
2016-02-28,0.66,0.34,0,0,3,0.75
2016-02-29,0.3,0,0,0.7,0,4.54
2016-03-01,0.47,0,0,0.53,0,2.54
2016-03-02,0,0,0.99,0.01,0,4.35
2016-03-03,0,0.07,0.93,0,0,0.65
2016-03-04,0,0.16,0.84,0,0,3.1
2016-03-05,0,0.13,0.87,0,40,3.1
2016-03-06,0.24,0,0,0.76,0,2.86
2016-03-07,0.07,0.93,0,0,0,1.28
2016-03-08,0.2,0,0,0.8,0,3.24
2016-03-09,0.24,0,0,0.76,0,3.86
2016-03-10,0.37,0,0,0.63,0,3.62
2016-03-11,0.57,0,0,0.43,0,1.65
2016-03-12,0.34,0,0,0.66,0,0.58
2016-03-13,0.62,0.38,0,0,0,0.38
2016-03-14,0.4,0,0,0.6,0,2.62
2016-03-15,0.36,0,0,0.64,0,2.62
2016-03-16,0.72,0.28,0,0,0,0.43
2016-03-17,0.24,0,0,0.76,0,0.84
2016-03-18,0.27,0,0,0.73,0,3.92
2016-03-19,0.36,0,0,0.64,0,2.12
2016-03-20,0.53,0,0,0.47,0,1.66
2016-03-21,0.47,0,0,0.53,0,1.53
2016-03-22,0.71,0,0,0.29,0,2.96
2016-03-23,0.37,0,0,0.63,0,3.02
2016-03-24,0.42,0,0,0.58,0,3.28
2016-03-25,0.31,0,0,0.69,0,1.44
2016-03-26,0.47,0,0,0.53,0,2.55
2016-03-27,0.51,0,0,0.49,0,3.02
2016-03-28,0.5,0,0,0.5,0,0.41
2016-03-29,0.93,0,0,0.07,0,4.17
2016-03-30,0.49,0,0,0.51,0,2.61
2016-03-31,0.31,0,0,0.69,0,0.95
2016-04-01,0.88,0.12,0,0,0,0.88
2016-04-02,0.5,0,0,0.5,0,0.66
2016-04-03,0.66,0.34,0,0,2,0.38
2016-04-04,0.53,0,0,0.47,0,3.38
2016-04-05,0.61,0,0,0.39,0,2.65
2016-04-06,0.96,0.04,0,0,3,2.06
2016-04-07,0.64,0,0,0.36,7.5,3.57
2016-04-08,0.51,0,0,0.49,0,2.97
2016-04-09,0.56,0,0,0.44,0,2.03
2016-04-10,0.6,0,0,0.4,0,2.8
2016-04-11,0.43,0,0,0.57,0,0.44
2016-04-12,0.62,0.38,0,0,0,0.33
2016-04-13,0.88,0.12,0,0,1,1.23
2016-04-14,0.5,0,0,0.5,0,2.05
2016-04-15,0.62,0,0,0.38,0,1.4
2016-04-16,0,0.18,0.82,0,23.5,4.26
2016-04-17,0.73,0,0,0.27,20.5,4.64
2016-04-18,0.69,0,0,0.31,1.5,2.53
2016-04-19,0.51,0,0,0.49,0,2.8
2016-04-20,0.69,0.31,0,0,0.5,0.55
2016-04-21,0,0.16,0.84,0,17,4.42
2016-04-22,0.47,0,0,0.53,0,2.94
2016-04-23,0.81,0.19,0,0,0,1.04
2016-04-24,0.4,0.6,0,0,0,0.37
2016-04-25,0.24,0,0,0.76,0,0.28
2016-04-26,0.62,0.38,0,0,0,0.37
2016-04-27,0,0.2,0.8,0,0,3.71
2016-04-28,0.87,0.13,0,0,0,1.82
2016-04-29,0.62,0,0,0.38,0,2.97
2016-04-30,0.96,0,0,0.04,0,3.34
2016-05-01,0,0,0.97,0.03,0,2.37
2016-05-02,0,0,0.8,0.2,16.5,2.63
2016-05-03,0.96,0,0,0.04,27,6.03
2016-05-04,0.73,0,0,0.27,0,5.31
2016-05-05,0.59,0,0,0.41,7.5,0.7
2016-05-06,0.76,0.24,0,0,9.5,0.36
2016-05-07,0.6,0,0,0.4,,3.09
2016-05-08,0.03,0.97,0,0,0,0.58
2016-05-09,0,0.38,0.62,0,0,0.6
2016-05-10,0.61,0.39,0,0,13.5,3.7
2016-05-11,0,0,0.93,0.07,0,2.65
2016-05-12,0,0,0.62,0.38,0,3.69
2016-05-13,0,0,0.33,0.67,0.5,2.26
2016-05-14,0.58,0.42,0,0,0,2.23
2016-05-15,0,0,0.89,0.11,45,3.32
2016-05-16,0,0,0.89,0.11,2.5,3.17
2016-05-17,0,0,0.84,0.16,0,2.11
2016-05-18,0.91,0,0,0.09,0,2.37
2016-05-19,0.31,0.69,0,0,0,1.44
2016-05-20,0.62,0.38,0,0,0,2.29
2016-05-21,0.64,0.36,0,0,0,2.34
2016-05-22,0.47,0.53,0,0,0,1.59
2016-05-23,0.82,0,0,0.18,0,2.53
2016-05-24,0,0,0.42,0.58,38.5,3.06
2016-05-25,0,0,0.36,0.64,0,3.13
2016-05-26,0,0,0.98,0.02,0,1.76
2016-05-27,0,0,0.97,0.03,0,2.64
2016-05-28,0,0,0.89,0.11,0,2.63
2016-05-29,0,0,0.91,0.09,0,2.85
2016-05-30,0,0,0.93,0.07,0,2.33
2016-05-31,0,0,0.89,0.11,0,2.35
2016-06-01,0.62,0.38,0,0,0,2.86
2016-06-02,0.61,0.39,0,0,0,1.8
2016-06-03,0,0,0.98,0.02,0,2.41
2016-06-04,0,0,0,1,0,2.12
2016-06-05,0.56,0.44,0,0,0,1.47
2016-06-06,0,0.38,0.62,0,0,2.57
2016-06-07,0,0,0,1,0,2.76
2016-06-08,0,0,0.92,0.08,0,2.34
2016-06-09,0,0,0.87,0.13,0,2.84
2016-06-10,0,0,0.88,0.12,0,2.26
2016-06-11,0,0,0.96,0.04,3,1.82
2016-06-12,0,0,0.91,0.09,1.5,2.38
2016-06-13,0,0,0.93,0.07,0,2.53
2016-06-14,0.87,0,0,0.13,0,2.92
2016-06-15,0,0,0.84,0.16,15.5,2.72
2016-06-16,0,0,0.92,0.08,0,2.69
2016-06-17,0,0,0.23,0.77,0,2.81
2016-06-18,0,0,0.93,0.07,0,2.82
2016-06-19,0,0,0.98,0.02,0,2.36
2016-06-20,0,0,0.98,0.02,0,2.08
2016-06-21,0.6,0.4,0,0,0,1.33
2016-06-22,0.6,0.4,0,0,30.5,2.51
2016-06-23,0.58,0.42,0,0,0,1.83
2016-06-24,0,0,0.94,0.06,3.5,2.44
2016-06-25,0,0,0.87,0.13,0,2.93
2016-06-26,0,0,0.94,0.06,0,3.19
2016-06-27,0.98,0,0,0.02,0,2.66
2016-06-28,0,0,0.96,0.04,0,2.17
2016-06-29,0,0,0.69,0.31,0,2.57
2016-06-30,0,0,0.24,0.76,0,3.15
2016-07-01,0,0,0.2,0.8,108.5,2.54
2016-07-02,0,0,0.96,0.04,,2.53
2016-07-03,0,0,0.9,0.1,0,1.47
2016-07-04,0.64,0.36,0,0,29.5,3.53
2016-07-05,0.64,0.36,0,0,100.5,3.39
