날짜,교통량
20180402,0.888
20180403,0.918
20180404,0.929
20180405,0.882
20180406,0.963
20180407,0.923
20180408,0.781
20180409,0.93
20180410,0.92
20180411,0.941
20180412,0.971
20180413,0.987
20180414,0.893
20180415,0.808
20180416,0.918
20180417,0.944
20180418,0.944
20180419,0.939
20180420,0.964
20180421,0.929
20180422,0.758
20180423,0.784
20180424,0.938
20180425,0.955
20180426,0.967
20180427,0.979
20180428,0.824
20180429,0.819
20180430,0.954
20180501,0.872
20180502,0.88
20180503,0.912
20180504,0.949
20180505,0.891
20180506,0.789
20180507,0.851
20180508,0.96
20180509,0.949
20180510,0.956
20180511,0.979
20180512,0.844
20180513,0.799
20180514,0.919
20180515,0.941
20180516,0.764
20180517,0.778
20180518,0.904
20180519,0.9
20180520,0.796
20180521,0.904
20180522,0.793
20180523,0.898
20180524,0.924
20180525,0.968
20180526,0.909
20180527,0.784
20180528,0.894
20180529,0.879
20180530,0.909
20180531,0.914
20180601,0.94
20180602,0.898
20180603,0.715
20180604,0.895
20180605,0.939
20180606,0.807
20180607,0.91
20180608,0.961
20180609,0.901
20180610,0.759
20180611,0.904
20180612,0.941
20180613,0.826
20180614,0.909
20180615,0.952
20180616,0.893
20180617,0.774
20180618,0.877
20180619,0.926
20180620,0.929
20180621,0.915
20180622,0.893
20180623,0.889
20180624,0.752
20180625,0.887
20180626,0.832
20180627,0.891
20180628,0.906
20180629,0.923
20180630,0.829
20180701,0.652
20180702,0.808
20180703,0.89
20180704,0.907
20180705,0.883
20180706,0.929
20180707,0.887
20180708,0.767
20180709,0.829
20180710,0.879
20180711,0.91
20180712,0.92
20180713,0.952
20180714,0.907
20180715,0.786
20180716,0.891
20180717,0.906
20180718,0.915
20180719,0.919
20180720,0.921
20180721,0.882
20180722,0.769
20180723,0.889
20180724,0.911
20180725,0.92
20180726,0.906
20180727,0.953
20180728,0.878
20180729,0.76
20180730,0.894
20180731,0.941
20180801,0.927
20180802,0.913
20180803,0.93
20180804,0.691
20180805,0.757
20180806,0.876
20180807,0.9
20180808,0.899
20180809,0.903
20180810,0.936
20180811,0.878
20180812,0.764
20180813,0.89
20180814,0.941
20180815,0.824
20180816,0.895
20180817,0.924
20180818,0.9
20180819,0.771
20180820,0.897
20180821,0.889
20180822,0.909
20180823,0.862
