날짜,북,동,남,서,강수량,풍속
2015-07-23,0,0,0.33,0.67,0.111,0.526
2015-07-24,0,0,0.4,0.6,0.183,0.327
2015-07-25,0,0,0.49,0.51,0.554,0.469
2015-07-26,0,0,0.36,0.64,0.28,0.586
2015-07-27,0.83,0,0,0.17,0.01,0.377
2015-07-28,0.84,0,0,0.16,0.0,0.254
2015-07-29,0,0,0.31,0.69,0.028,0.482
2015-07-30,0,0,0.44,0.56,0.0,0.551
2015-07-31,0,0,0.63,0.37,0.0,0.459
2015-08-01,0,0,0.54,0.46,0.0,0.512
2015-08-03,0,0,0.38,0.62,0.0,0.612
2015-08-04,0,0,0.42,0.58,0.0,0.688
2015-08-05,0,0,0.38,0.62,0.0,0.676
2015-08-06,0.67,0,0,0.33,0.0,0.31
2015-08-07,0.33,0.67,0,0,0.076,0.153
2015-08-08,0.58,0.42,0,0,0.052,0.281
2015-08-09,0.84,0,0,0.16,0.0,0.405
2015-08-10,0.96,0,0,0.04,0.0,0.335
2015-08-11,0.89,0,0,0.11,0.0,0.307
2015-08-12,0.42,0.58,0,0,0.0,0.208
2015-08-13,0.56,0.44,0,0,0.0,0.261
2015-08-14,0.53,0.47,0,0,0.0,0.245
2015-08-15,0.53,0.47,0,0,0.0,0.237
2015-08-16,0.68,0.32,0,0,0.201,0.429
2015-08-18,0.71,0.29,0,0,0.0,0.402
2015-08-19,0.56,0.44,0,0,0.0,0.324
2015-08-20,0.84,0,0,0.16,0.0,0.257
2015-08-21,0.87,0,0,0.13,0.017,0.355
2015-08-22,0.91,0,0,0.09,0.0,0.462
2015-08-23,0.47,0.53,0,0,0.0,0.221
2015-08-24,0.71,0.29,0,0,0.0,0.573
2015-08-25,0.38,0.62,0,0,0.038,0.475
2015-08-26,0.89,0,0,0.11,0.0,0.418
2015-08-27,0.91,0,0,0.09,0.0,0.454
2015-08-28,0.93,0,0,0.07,0.0,0.223
2015-08-29,0.89,0,0,0.11,0.0,0.495
2015-08-30,0.8,0,0,0.2,0.0,0.268
2015-08-31,0.71,0.29,0,0,0.0,0.385
2015-09-01,0.71,0.29,0,0,0.0,0.502
2015-09-02,0.84,0.16,0,0,0.003,0.348
2015-09-04,0.89,0,0,0.11,0.0,0.341
2015-09-05,0.67,0.33,0,0,0.035,0.337
2015-09-06,0.64,0.36,0,0,0.0,0.496
2015-09-07,0.78,0.22,0,0,0.0,0.3
2015-09-08,0.67,0.33,0,0,0.0,0.471
2015-09-09,0.56,0.44,0,0,0.0,0.469
2015-09-10,0.96,0,0,0.04,0.0,0.431
2015-09-11,0.84,0,0,0.16,0.017,0.394
2015-09-12,0,0,0,1,0.0,0.213
2015-09-13,0.96,0,0,0.04,0.0,0.434
2015-09-14,0.53,0.47,0,0,0.0,0.288
2015-09-15,0.56,0.44,0,0,0.0,0.304
2015-09-16,0.64,0.36,0,0,0.0,0.427
2015-09-17,0.69,0.31,0,0,0.0,0.482
2015-09-18,0.69,0.31,0,0,0.0,0.379
2015-09-19,0.91,0,0,0.09,0.0,0.549
2015-09-20,0.38,0.62,0,0,0.0,0.174
2015-09-21,0.5,0,0,0.5,0.0,0.009
2015-09-22,0.67,0.33,0,0,0.0,0.24
2015-09-23,0.58,0.42,0,0,0.0,0.315
2015-09-24,0.6,0.4,0,0,0.0,0.231
2015-09-25,0.69,0.31,0,0,0.0,0.367
2015-09-26,0.82,0,0,0.18,0.0,0.292
2015-09-27,0.39,0.61,0,0,0.0,0.218
2015-09-28,0.4,0.6,0,0,0.0,0.215
2015-09-29,0.59,0.41,0,0,0.0,0.362
2015-09-30,0.96,0.04,0,0,0.0,0.388
2015-10-02,0,0,0.6,0.4,0.0,0.79
2015-10-03,0,0,0,1,0.0,0.663
2015-10-04,0.71,0,0,0.29,0.0,0.29
2015-10-05,0.36,0.64,0,0,0.0,0.195
2015-10-06,0.37,0.63,0,0,0.0,0.208
2015-10-07,0.28,0.72,0,0,0.0,0.066
2015-10-08,0.96,0,0,0.04,0.0,0.506
2015-10-09,0.96,0,0,0.04,0.0,0.552
2015-10-10,0,0,0.36,0.64,0.024,0.552
2015-10-11,0,0,0.96,0.04,0.024,0.354
2015-10-13,0,0,0.71,0.29,0.0,0.372
2015-10-14,0.33,0.67,0,0,0.0,0.198
2015-10-15,0.38,0.62,0,0,0.0,0.237
2015-10-16,0.82,0,0,0.18,0.0,0.34
2015-10-17,0.47,0.53,0,0,0.0,0.198
2015-10-18,0.34,0.66,0,0,0.0,0.113
2015-10-19,0.67,0.33,0,0,0.0,0.234
2015-10-20,0,0,0,1,0.0,0.078
2015-10-21,0.73,0,0,0.27,0.0,0.243
2015-10-22,0.69,0.31,0,0,0.0,0.412
2015-10-23,0,0,0.49,0.51,0.0,0.361
2015-10-24,0.8,0,0,0.2,0.073,0.354
2015-10-25,0.76,0.24,0,0,0.0,0.447
2015-10-26,0.69,0.31,0,0,0.014,0.344
2015-10-27,0.88,0,0,0.12,0.183,0.499
2015-10-28,0.96,0,0,0.04,0.0,0.479
2015-10-29,0.27,0.73,0,0,0.003,0.097
2015-10-30,0.82,0,0,0.18,0.0,0.484
2015-10-31,0.78,0,0,0.22,0.0,0.307
2015-11-01,0.44,0.56,0,0,0.0,0.243
2015-11-02,0.27,0.73,0,0,0.0,0.021
2015-11-03,0.34,0.66,0,0,0.0,0.14
2015-11-04,0.34,0.66,0,0,0.0,0.201
2015-11-05,0.31,0.69,0,0,0.0,0.128
2015-11-06,0.73,0.27,0,0,0.031,0.75
2015-11-07,0.73,0.27,0,0,0.17,0.842
2015-11-08,0.72,0.28,0,0,0.073,0.74
2015-11-09,0.8,0,0,0.2,0.024,0.352
2015-11-10,0.96,0,0,0.04,0.0,0.25
2015-11-11,0.71,0.29,0,0,0.0,0.437
2015-11-12,0.71,0.29,0,0,0.0,0.451
2015-11-13,0.71,0.29,0,0,0.156,0.573
2015-11-14,0.69,0.31,0,0,0.024,0.381
2015-11-15,0.93,0,0,0.07,0.0,0.251
2015-11-16,0.69,0.31,0,0,0.038,0.459
2015-11-17,0.76,0,0,0.24,0.0,0.278
2015-11-18,0.71,0.29,0,0,0.038,0.735
2015-11-19,0.73,0.27,0,0,0.0,0.484
2015-11-20,0.2,0.8,0,0,0.0,0.073
2015-11-21,0.73,0,0,0.27,0.0,0.268
2015-11-22,0.71,0.29,0,0,0.024,0.548
2015-11-23,0.71,0.29,0,0,0.045,0.626
2015-11-24,0.71,0.29,0,0,0.003,0.568
2015-11-25,0.69,0.31,0,0,0.076,0.505
2015-11-26,0.69,0,0,0.31,0.0,0.569
2015-11-27,0.82,0,0,0.18,0.0,0.447
2015-11-28,0.56,0.44,0,0,0.0,0.318
2015-11-29,0.67,0.33,0,0,0.021,0.486
2015-12-01,0.49,0.51,0,0,0.0,0.302
2015-12-02,0.64,0.36,0,0,0.093,0.322
2015-12-03,0.78,0,0,0.22,0.035,0.799
2015-12-04,0,0,0.91,0.09,0.0,0.133
2015-12-05,0,0,0.8,0.2,0.0,0.342
2015-12-06,0,0,0.84,0.16,0.0,0.121
2015-12-07,0.16,0,0,0.84,0.0,0.14
2015-12-08,0.41,0,0,0.59,0.0,0.158
2015-12-09,0,0.24,0.76,0,0.0,0.291
2015-12-10,0,0.31,0.69,0,0.0,0.321
2015-12-11,0.89,0.11,0,0,0.0,0.672
2015-12-12,0.19,0.81,0,0,0.0,0.154
